               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087533,             0.02639,            0.022037,             0.83316,            0.070199,            0.064106,            0.021597,            0.068129,            0.017782,            0.015748,            0.070063,           0.0033264,           0.0033264
                   1,            0.070871,             0.01842,            0.013396,              0.8427,            0.088768,             0.10304,            0.031756,            0.066889,            0.017696,            0.015453,             0.03998,           0.0065773,           0.0065773
                   2,            0.068865,            0.017911,            0.011819,             0.39303,             0.16553,             0.11247,            0.037027,            0.066254,            0.018577,            0.012753,           0.0098153,           0.0097457,           0.0097457
                   3,            0.069711,            0.018077,            0.012029,             0.77598,            0.078918,            0.095738,            0.033281,            0.067655,            0.018743,            0.012525,           0.0096288,           0.0096288,           0.0096288
                   4,            0.066854,            0.018071,             0.01113,             0.45835,             0.18233,             0.13559,            0.049046,            0.064887,            0.018399,            0.010969,           0.0096288,           0.0096288,           0.0096288
                   5,            0.065176,            0.017922,            0.010241,             0.36138,             0.13549,             0.11425,            0.042486,            0.064128,            0.023901,             0.01154,            0.009505,            0.009505,            0.009505
                   6,            0.063371,            0.017189,           0.0096832,             0.21031,             0.25337,              0.1897,            0.067609,            0.060847,            0.016916,            0.010275,           0.0093813,           0.0093813,           0.0093813
                   7,            0.061703,            0.017007,            0.008961,             0.32781,             0.21717,             0.15781,            0.067255,             0.06232,            0.019007,            0.010274,           0.0092575,           0.0092575,           0.0092575
                   8,            0.061064,            0.016886,           0.0090873,             0.28267,             0.22997,             0.19565,            0.068971,            0.059932,            0.018662,           0.0098193,           0.0091337,           0.0091337,           0.0091337
                   9,            0.060105,            0.016514,           0.0086571,              0.5104,             0.24361,              0.2798,            0.096862,            0.057708,            0.016615,            0.011069,             0.00901,             0.00901,             0.00901
                  10,            0.059008,             0.01691,           0.0081108,             0.38261,             0.25729,             0.22346,            0.092735,            0.055166,              0.0173,           0.0099282,           0.0088863,           0.0088863,           0.0088863
                  11,            0.058356,            0.016381,           0.0076496,             0.35468,             0.29732,             0.25098,             0.09461,            0.056043,            0.016604,            0.010098,           0.0087625,           0.0087625,           0.0087625
                  12,            0.057484,             0.01663,           0.0071746,             0.24791,             0.26955,             0.18787,            0.078419,            0.056794,            0.017118,            0.010568,           0.0086388,           0.0086388,           0.0086388
                  13,            0.057511,            0.016417,           0.0073378,             0.38821,             0.26073,             0.22856,            0.095948,            0.057857,            0.016873,            0.011379,            0.008515,            0.008515,            0.008515
                  14,            0.056586,            0.016563,           0.0069267,             0.32392,             0.31892,             0.26348,             0.10269,            0.053161,            0.016437,           0.0095934,           0.0083913,           0.0083913,           0.0083913
                  15,            0.055759,            0.016316,           0.0065357,             0.38336,             0.39071,             0.31234,             0.12339,            0.054746,            0.016154,            0.010885,           0.0082675,           0.0082675,           0.0082675
                  16,            0.055236,            0.015697,           0.0066512,             0.43719,             0.29282,             0.26687,             0.11145,            0.055241,            0.016438,            0.010381,           0.0081437,           0.0081437,           0.0081437
                  17,            0.054605,            0.016308,            0.006288,             0.37965,             0.36399,              0.2723,             0.10437,            0.055256,            0.016741,            0.012203,             0.00802,             0.00802,             0.00802
                  18,            0.054067,            0.015659,           0.0061707,              0.4279,              0.2993,             0.27461,              0.1015,            0.053614,            0.016633,           0.0085937,           0.0078963,           0.0078963,           0.0078963
                  19,            0.053966,            0.015653,           0.0062955,              0.3555,             0.36374,             0.30493,             0.12282,            0.053384,            0.016565,           0.0082902,           0.0077725,           0.0077725,           0.0077725
                  20,            0.053674,            0.015773,           0.0059328,             0.35277,              0.3892,             0.29865,             0.11408,             0.05203,            0.016129,            0.010989,           0.0076488,           0.0076488,           0.0076488
